Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;final2useful;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];1=Yes/0=No;
Synthetic fuels;Synthetic fuels;Oil to HVC; OIL_TO_HVC ;449.55;2.390016639;0;15;1;0;1;0;1.00E+15;0.00E+00;HVC
Synthetic fuels;Synthetic fuels;Gas to HVC; GAS_TO_HVC ;907.75;22.69375242;0;25;1;0;1;0;1.00E+15;0.00E+00;HVC
Synthetic fuels;Synthetic fuels;Biomass to HVC; BIOMASS_TO_HVC ;3311.7;98.8;0;20;1;0;1;0;1.00E+15;0.00E+00;HVC
Synthetic fuels;Synthetic fuels;Methanol to HVC; METHANOL_TO_HVC ;793.49;71.41369717;0;20;1;0;1;0;1.00E+15;0.00E+00;HVC
Storage;Electricity storage;Batteries; BATT_LI ;501.3;0.775025166;61.3;15;1;0;1;0;1.00E+15;0.00E+00;
Storage;Electricity storage;Batteries of electric cars; BEV_BATT ;0;0;0;1;1;0;1;0;1.00E+15;0.00E+00;
Storage;Electricity storage;Batteries of plug-in hybrid cars; PHEV_BATT ;0;0;0;1;1;0;1;0;1.00E+15;0.00E+00;
Storage;Electricity storage;Pumped hydro storage; PHS ;58.8;0;8.33;50;1;0;1;5;6.5;0.00E+00;
Storage;Thermal storage;Decentralised direct elec; TS_DEC_DIRECT_ELEC  ;174.1613382;1.219245937;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Thermal storage;Decentralised electrical heat pumps; TS_DEC_HP_ELEC  ;174.1613382;1.219245937;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Thermal storage;Decentralised thermal heat pumps gas; TS_DEC_THHP_GAS  ;174.1613382;1.219245937;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Thermal storage;Decentralised cogeneration gas; TS_DEC_COGEN_GAS  ;174.1613382;1.219245937;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Thermal storage;Decentralised cogenration oil; TS_DEC_COGEN_OIL  ;174.1613382;1.219245937;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Thermal storage;Decentralised fuel cell cogeneration gas; TS_DEC_ADVCOGEN_GAS  ;174.1613382;1.219245937;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Thermal storage;Decentralised fuel cell cogenration H2; TS_DEC_ADVCOGEN_H2  ;174.1613382;1.219245937;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Thermal storage;Decentralised boiler gas; TS_DEC_BOILER_GAS  ;174.1613382;1.219245937;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Thermal storage;Decentralised boiler wood; TS_DEC_BOILER_WOOD  ;174.1613382;1.219245937;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Thermal storage;Decentralised boiler oil; TS_DEC_BOILER_OIL  ;174.1613382;1.219245937;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Thermal storage;Centralised daily; TS_DHN_DAILY ;27.54264706;0.078955588;0;40;1;0;1;0;1.00E+15;0.00E+00;
